OptNumbPar.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.336, Time: 2.030384 s
         17964982 function calls (16789681 primitive calls) in 6.719 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      641    0.002    0.000    0.349    0.001 module.py:207(_get_body_lines)
    32/24    0.000    0.000    0.341    0.014 functions.py:389(get_call_type)
    16/14    0.000    0.000    0.340    0.024 templates.py:1136(generic)
    23/20    0.000    0.000    0.340    0.017 templates.py:1076(_get_signature)
        5    0.000    0.000    0.335    0.067 typed_passes.py:352(run_pass)
        5    0.000    0.000    0.335    0.067 parfor.py:2953(run)
     1846    0.001    0.000    0.334    0.000 values.py:1013(__str__)
     1846    0.001    0.000    0.332    0.000 values.py:1006(descr)
     1771    0.009    0.000    0.332    0.000 pprint.py:209(_pprint_dict)
    65398    0.012    0.000    0.329    0.000 ir.py:351(list_vars)
294352/143800    0.096    0.000    0.319    0.000 {method 'format' of 'str' objects}
       14    0.000    0.000    0.315    0.023 parallel.py:255(build_gufunc_wrapper)
        1    0.000    0.000    0.307    0.307 pyplot.py:1(<module>)
      587    0.004    0.000    0.302    0.001 postproc.py:71(run)
       46    0.000    0.000    0.302    0.007 ir_utils.py:1507(simplify)
1350/1066    0.039    0.000    0.296    0.000 analysis.py:23(compute_use_defs)
166564/68893    0.043    0.000    0.295    0.000 _utils.py:44(__str__)
      187    0.001    0.000    0.294    0.002 values.py:999(descr_body)
     3575    0.007    0.000    0.293    0.000 values.py:1172(descr)
       56    0.000    0.000    0.282    0.005 lowering.py:286(create_cfunc_wrapper)
       56    0.001    0.000    0.281    0.005 cpu.py:193(create_cfunc_wrapper)
3914/3805    0.031    0.000    0.278    0.000 {built-in method builtins.__build_class__}
  3191418    0.229    0.000    0.269    0.000 {built-in method builtins.isinstance}
      723    0.003    0.000    0.268    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
  771/525    0.001    0.000    0.261    0.000 base.py:261(refresh)
    84304    0.027    0.000    0.260    0.000 pprint.py:457(_repr)
    48608    0.043    0.000    0.256    0.000 values.py:544(_to_string)
6540/4473    0.005    0.000    0.254    0.000 functools.py:979(__get__)
       74    0.001    0.000    0.241    0.003 compiler.py:397(__init__)
167234/84304    0.038    0.000    0.224    0.000 pprint.py:466(format)
      771    0.006    0.000    0.221    0.000 cpu.py:60(load_additional_registries)
      178    0.000    0.000    0.215    0.001 codegen.py:732(add_llvm_module)
   123/50    0.002    0.000    0.212    0.004 ir_utils.py:589(remove_dead)
167234/84304    0.071    0.000    0.205    0.000 pprint.py:554(_safe_repr)
       14    0.000    0.000    0.200    0.014 parallel.py:49(build_gufunc_kernel)
      178    0.005    0.000    0.199    0.001 codegen.py:651(_optimize_functions)
       19    0.000    0.000    0.199    0.010 typed_passes.py:381(run_pass)
       19    0.000    0.000    0.198    0.010 parfor.py:3058(run)
     1771    0.030    0.000    0.196    0.000 pprint.py:380(_format_dict_items)
    29628    0.135    0.000    0.194    0.000 {built-in method builtins.sorted}
    46963    0.056    0.000    0.188    0.000 instructions.py:13(__init__)
    45891    0.010    0.000    0.182    0.000 ir.py:608(list_vars)
   100780    0.040    0.000    0.181    0.000 event.py:209(broadcast)
      723    0.001    0.000    0.180    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      105    0.002    0.000    0.179    0.002 artist.py:159(_update_set_signature_and_docstring)
    45984    0.016    0.000    0.177    0.000 ffi.py:78(__exit__)
      104    0.000    0.000    0.177    0.002 artist.py:126(__init_subclass__)
        5    0.000    0.000    0.174    0.035 typed_passes.py:297(run_pass)
        5    0.000    0.000    0.174    0.035 parfor.py:2906(run)
        5    0.000    0.000    0.174    0.035 typed_passes.py:260(run_pass)
        5    0.000    0.000    0.173    0.035 parfor.py:1454(run)
125131/117089    0.025    0.000    0.169    0.000 {built-in method builtins.next}
       76    0.002    0.000    0.168    0.002 interpreter.py:1361(interpret)
115259/1532    0.073    0.000    0.167    0.000 copy.py:118(deepcopy)
2502/1532    0.010    0.000    0.163    0.000 copy.py:217(_deepcopy_dict)
    50390    0.027    0.000    0.162    0.000 event.py:404(end_event)
       19    0.000    0.000    0.159    0.008 lowering.py:273(create_cpython_wrapper)
       19    0.000    0.000    0.159    0.008 cpu.py:181(create_cpython_wrapper)
    45981    0.010    0.000    0.156    0.000 base.py:1249(exit_fn)
    62159    0.053    0.000    0.153    0.000 values.py:537(__init__)
  138/128    0.001    0.000    0.152    0.001 lowering.py:726(lower_binop)
    45984    0.016    0.000    0.147    0.000 ffi.py:72(__enter__)
      587    0.000    0.000    0.144    0.000 postproc.py:42(usedefs)
        1    0.000    0.000    0.143    0.143 colorbar.py:1(<module>)
        3    0.000    0.000    0.139    0.046 randomimpl.py:368(_impl)
      757    0.001    0.000    0.138    0.000 typeinfer.py:704(__call__)
        1    0.000    0.000    0.138    0.138 figure.py:1(<module>)
      117    0.000    0.000    0.135    0.001 artist.py:1837(kwdoc)
   171910    0.059    0.000    0.134    0.000 event.py:243(notify)
6789/6007    0.004    0.000    0.133    0.000 ir_utils.py:1542(guard)
    50390    0.026    0.000    0.127    0.000 event.py:390(start_event)
        1    0.000    0.000    0.125    0.125 arrayobj.py:2226(array_ravel)
      120    0.003    0.000    0.125    0.001 registry.py:54(apply)
    45981    0.010    0.000    0.125    0.000 base.py:1246(enter_fn)
       60    0.000    0.000    0.125    0.002 untyped_passes.py:79(run_pass)
        5    0.000    0.000    0.123    0.025 parfor.py:1997(run)
  645/357    0.010    0.000    0.120    0.000 ir_utils.py:632(remove_dead_block)
    86/61    0.001    0.000    0.119    0.002 array_analysis.py:1120(run)
5982/4335    0.007    0.000    0.118    0.000 copy.py:247(_reconstruct)
       14    0.000    0.000    0.115    0.008 wrappers.py:497(build_gufunc_wrapper)
       14    0.000    0.000    0.115    0.008 wrappers.py:453(build)
       14    0.000    0.000    0.115    0.008 wrappers.py:429(_compile_wrapper)
      117    0.003    0.000    0.114    0.001 artist.py:1598(pprint_setters)
       14    0.001    0.000    0.113    0.008 wrappers.py:345(_build_wrapper)
     3936    0.004    0.000    0.113    0.000 context.py:360(_call_incref_decref)
    12860    0.006    0.000    0.112    0.000 module.py:220(__next__)
      769    0.003    0.000    0.111    0.000 cgutils.py:99(__init__)
        1    0.000    0.000    0.107    0.107 arrayobj.py:6020(codegen)
       60    0.000    0.000    0.106    0.002 untyped_passes.py:212(run_pass)
29684/25663    0.011    0.000    0.106    0.000 contextlib.py:132(__enter__)
        2    0.000    0.000    0.103    0.052 arrayobj.py:2140(array_reshape_vararg)
        2    0.000    0.000    0.103    0.052 arrayobj.py:2075(array_reshape)
 1374/992    0.003    0.000    0.099    0.000 base.py:526(get_function)
11031/3936    0.013    0.000    0.099    0.000 context.py:343(get_meminfos)
    63746    0.017    0.000    0.098    0.000 values.py:557(_set_name)
     1689    0.003    0.000    0.096    0.000 lowering.py:1460(storevar)
       60    0.000    0.000    0.095    0.002 typed_passes.py:226(run_pass)
      723    0.094    0.000    0.094    0.000 {method 'read' of '_io.BufferedReader' objects}
    86/61    0.000    0.000    0.094    0.002 array_analysis.py:1170(_run_on_blocks)
     4252    0.006    0.000    0.094    0.000 artist.py:1470(get_valid_values)
  282/217    0.002    0.000    0.093    0.000 array_analysis.py:1194(_determine_transform)
       14    0.000    0.000    0.090    0.006 arrayobj.py:4164(_empty_nd_impl)
    11829    0.010    0.000    0.090    0.000 builder.py:967(extract_value)
468711/468091    0.054    0.000    0.089    0.000 {built-in method builtins.getattr}
       60    0.000    0.000    0.087    0.001 untyped_passes.py:1762(run_pass)
        5    0.000    0.000    0.087    0.017 parfor.py:1464(_replace_parallel_functions)
       89    0.001    0.000    0.086    0.001 callconv.py:122(raise_error)
      374    0.001    0.000    0.085    0.000 arrayobj.py:77(_make_refs)
        7    0.000    0.000    0.085    0.012 ir_utils.py:1354(canonicalize_array_math)
     58/4    0.001    0.000    0.085    0.021 parfor.py:3006(fuse_parfors)
        5    0.000    0.000    0.084    0.017 arrayobj.py:4124(make_array_nditer)
      723    0.083    0.000    0.083    0.000 {built-in method _io.open_code}
      744    0.003    0.000    0.083    0.000 module.py:11(parse_assembly)
        3    0.000    0.000    0.083    0.028 parfor.py:2129(_numpy_to_parfor)
        3    0.000    0.000    0.083    0.028 parfor.py:2140(_numpy_map_to_parfor)
       19    0.000    0.000    0.083    0.004 callwrapper.py:101(build)
        5    0.000    0.000    0.082    0.016 arrayobj.py:3489(init_specific)
    49/43    0.001    0.000    0.082    0.002 parfor.py:3696(get_parfor_reductions)
    54/46    0.000    0.000    0.082    0.002 parfor.py:3042(fuse_recursive_parfor)
       19    0.000    0.000    0.082    0.004 callwrapper.py:126(build_wrapper)
    63746    0.022    0.000    0.081    0.000 _utils.py:16(register)
        3    0.000    0.000    0.081    0.027 decorators.py:1(<module>)
124251/123746    0.038    0.000    0.081    0.000 _utils.py:54(get_reference)
        2    0.000    0.000    0.081    0.040 arrayobj.py:5401(codegen)
