OptCythonOMPRun.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.063, Time: 0.134559 s
         1019343 function calls (1004004 primitive calls) in 0.656 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.010    0.010 offsetbox.py:1(<module>)
     1440    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1452    0.009    0.000    0.009    0.000 {built-in method posix.stat}
      636    0.003    0.000    0.009    0.000 inspect.py:2387(_signature_from_function)
        1    0.000    0.000    0.009    0.009 _array_like.py:1(<module>)
148730/147696    0.009    0.000    0.009    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.009    0.009 multiarray.py:1(<module>)
        1    0.000    0.000    0.009    0.009 legend.py:1(<module>)
     6024    0.005    0.000    0.009    0.000 inspect.py:2733(__init__)
    69844    0.008    0.000    0.009    0.000 {built-in method builtins.getattr}
   104/92    0.000    0.000    0.009    0.000 typing.py:515(__getitem__)
        1    0.000    0.000    0.009    0.009 py3k.py:1(<module>)
        1    0.000    0.000    0.008    0.008 lines.py:1(<module>)
    77818    0.008    0.000    0.008    0.000 {method 'lstrip' of 'str' objects}
       92    0.000    0.000    0.008    0.000 typing.py:694(Union)
      973    0.001    0.000    0.008    0.000 __init__.py:711(__setitem__)
        1    0.000    0.000    0.008    0.008 polar.py:1(<module>)
        1    0.000    0.000    0.008    0.008 overrides.py:1(<module>)
       51    0.000    0.000    0.008    0.000 __init__.py:226(compile)
      437    0.000    0.000    0.008    0.000 artist.py:1536(number_of_parameters)
    64536    0.006    0.000    0.008    0.000 {built-in method builtins.isinstance}
      201    0.000    0.000    0.007    0.000 _compiler.py:573(_code)
        1    0.000    0.000    0.007    0.007 image.py:1(<module>)
    54438    0.007    0.000    0.007    0.000 {built-in method builtins.min}
      954    0.000    0.000    0.007    0.000 artist.py:1542(is_alias)
       94    0.000    0.000    0.007    0.000 __init__.py:1391(_preprocess_data)
      456    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      531    0.005    0.000    0.007    0.000 typing.py:175(_type_check)
      494    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.006    0.006 textpath.py:1(<module>)
        8    0.000    0.000    0.006    0.001 __init__.py:73(import_module)
        8    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
     4252    0.003    0.000    0.006    0.000 artist.py:1555(aliased_name)
        1    0.000    0.000    0.006    0.006 font_manager.py:1(<module>)
16105/16092    0.005    0.000    0.006    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.006    0.006 legend.py:342(Legend)
        1    0.000    0.000    0.006    0.006 category.py:1(<module>)
        7    0.000    0.000    0.006    0.001 legend_handler.py:171(__init__)
       12    0.006    0.000    0.006    0.000 legend_handler.py:62(__init__)
        1    0.000    0.000    0.006    0.006 legend_handler.py:524(__init__)
      404    0.000    0.000    0.006    0.000 typing.py:730(<genexpr>)
      793    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.006    0.006 axis3d.py:1(<module>)
10743/10709    0.002    0.000    0.005    0.000 {built-in method builtins.hasattr}
 1009/201    0.002    0.000    0.005    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
3686/3255    0.002    0.000    0.005    0.000 {built-in method __new__ of type object at 0x104bcf2a8}
        1    0.000    0.000    0.005    0.005 hmac.py:1(<module>)
        2    0.000    0.000    0.005    0.003 common.py:1(<module>)
        1    0.000    0.000    0.005    0.005 quiver.py:1(<module>)
        1    0.000    0.000    0.005    0.005 numeric.py:1(<module>)
        1    0.000    0.000    0.005    0.005 scale.py:1(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:240(_check_versions)
       32    0.001    0.000    0.005    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.005    0.005 _parser.py:1(<module>)
     8914    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.004    0.004 ExifTags.py:1(<module>)
        1    0.000    0.000    0.004    0.004 PngImagePlugin.py:1(<module>)
      433    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.004    0.004 cm.py:1(<module>)
      248    0.001    0.000    0.004    0.000 typing.py:1260(__init__)
      875    0.003    0.000    0.004    0.000 inspect.py:3019(__init__)
      317    0.001    0.000    0.004    0.000 overrides.py:142(decorator)
       48    0.000    0.000    0.004    0.000 __init__.py:1347(_add_data_doc)
      360    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.004    0.004 helpers.py:1(<module>)
       55    0.002    0.000    0.004    0.000 {built-in method builtins.eval}
       37    0.001    0.000    0.004    0.000 __init__.py:355(namedtuple)
       18    0.000    0.000    0.004    0.000 rcsetup.py:799(validate_cycler)
        1    0.000    0.000    0.004    0.004 ticker.py:1(<module>)
        1    0.000    0.000    0.004    0.004 common.py:8(pyparsing_common)
        2    0.000    0.000    0.004    0.002 ElementTree.py:1(<module>)
      345    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    33734    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
        3    0.000    0.000    0.003    0.001 patches.py:2211(__init_subclass__)
     3228    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        6    0.000    0.000    0.003    0.001 patches.py:2253(pprint_styles)
