OptNumbNoPar.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.267, Time: 0.698412 s
         9704223 function calls (9151302 primitive calls) in 3.807 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
3374/2140    0.002    0.000    0.183    0.000 functools.py:979(__get__)
221879/39718    0.115    0.000    0.181    0.000 ir.py:318(_rec_list_vars)
      719    0.001    0.000    0.172    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      105    0.002    0.000    0.170    0.002 artist.py:159(_update_set_signature_and_docstring)
      104    0.000    0.000    0.167    0.002 artist.py:126(__init_subclass__)
127032/64011    0.025    0.000    0.165    0.000 pprint.py:466(format)
    19177    0.116    0.000    0.161    0.000 {built-in method builtins.sorted}
    32834    0.006    0.000    0.160    0.000 ir.py:351(list_vars)
      280    0.000    0.000    0.160    0.001 module.py:233(__repr__)
      280    0.001    0.000    0.157    0.001 module.py:207(_get_body_lines)
127032/64011    0.054    0.000    0.153    0.000 pprint.py:554(_safe_repr)
      766    0.000    0.000    0.150    0.000 values.py:1013(__str__)
      766    0.000    0.000    0.149    0.000 values.py:1006(descr)
133642/65393    0.044    0.000    0.146    0.000 {method 'format' of 'str' objects}
     1341    0.022    0.000    0.145    0.000 pprint.py:380(_format_dict_items)
        1    0.000    0.000    0.139    0.139 figure.py:1(<module>)
    98/88    0.001    0.000    0.138    0.002 lowering.py:726(lower_binop)
73205/30436    0.020    0.000    0.135    0.000 _utils.py:44(__str__)
       92    0.000    0.000    0.134    0.001 values.py:999(descr_body)
     1803    0.003    0.000    0.134    0.000 values.py:1172(descr)
      117    0.000    0.000    0.131    0.001 artist.py:1837(kwdoc)
      496    0.018    0.000    0.129    0.000 analysis.py:23(compute_use_defs)
        1    0.000    0.000    0.127    0.127 colorbar.py:1(<module>)
        1    0.000    0.000    0.127    0.127 arrayobj.py:2226(array_ravel)
  1398454    0.103    0.000    0.125    0.000 {built-in method builtins.isinstance}
       13    0.000    0.000    0.121    0.009 npyimpl.py:335(numpy_ufunc_kernel)
       30    0.000    0.000    0.117    0.004 lowering.py:286(create_cfunc_wrapper)
       30    0.000    0.000    0.117    0.004 cpu.py:193(create_cfunc_wrapper)
    22073    0.019    0.000    0.117    0.000 values.py:544(_to_string)
       49    0.000    0.000    0.115    0.002 untyped_passes.py:79(run_pass)
       49    0.001    0.000    0.115    0.002 interpreter.py:1361(interpret)
      117    0.003    0.000    0.111    0.001 artist.py:1598(pprint_setters)
    21265    0.017    0.000    0.111    0.000 instructions.py:13(__init__)
        5    0.000    0.000    0.109    0.022 npyimpl.py:229(_build_array)
        1    0.000    0.000    0.108    0.108 arrayobj.py:6020(codegen)
      442    0.000    0.000    0.107    0.000 postproc.py:42(usedefs)
       98    0.003    0.000    0.106    0.001 registry.py:54(apply)
        2    0.000    0.000    0.105    0.052 arrayobj.py:2140(array_reshape_vararg)
        2    0.000    0.000    0.104    0.052 arrayobj.py:2075(array_reshape)
    27779    0.058    0.000    0.103    0.000 values.py:537(__init__)
    49820    0.021    0.000    0.102    0.000 event.py:209(broadcast)
       84    0.002    0.000    0.100    0.001 codegen.py:732(add_llvm_module)
       49    0.000    0.000    0.097    0.002 untyped_passes.py:212(run_pass)
72396/68734    0.014    0.000    0.096    0.000 {built-in method builtins.next}
    21745    0.008    0.000    0.092    0.000 ffi.py:78(__exit__)
       15    0.000    0.000    0.092    0.006 arrayobj.py:4164(_empty_nd_impl)
       84    0.002    0.000    0.091    0.001 codegen.py:651(_optimize_functions)
    24910    0.013    0.000    0.091    0.000 event.py:404(end_event)
     4252    0.006    0.000    0.091    0.000 artist.py:1470(get_valid_values)
      719    0.088    0.000    0.088    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.086    0.086 numbers.py:206(int_power_impl)
        4    0.000    0.000    0.084    0.021 arrayobj.py:4124(make_array_nditer)
      381    0.001    0.000    0.082    0.000 typeinfer.py:704(__call__)
    21742    0.005    0.000    0.082    0.000 base.py:1249(exit_fn)
        4    0.000    0.000    0.082    0.020 arrayobj.py:3489(init_specific)
      719    0.082    0.000    0.082    0.000 {built-in method _io.open_code}
    19411    0.004    0.000    0.080    0.000 ir.py:608(list_vars)
       49    0.000    0.000    0.079    0.002 typed_passes.py:226(run_pass)
      451    0.000    0.000    0.079    0.000 entrypoints.py:23(init_all)
        3    0.000    0.000    0.079    0.026 dispatcher.py:281(_compilation_chain_init_hook)
        1    0.000    0.000    0.078    0.078 __init__.py:901(entry_points)
      403    0.000    0.000    0.078    0.000 __init__.py:910(<genexpr>)
   104588    0.034    0.000    0.078    0.000 event.py:243(notify)
        3    0.000    0.000    0.077    0.026 decorators.py:1(<module>)
        1    0.000    0.000    0.076    0.076 randomimpl.py:368(_impl)
        1    0.000    0.000    0.076    0.076 arraymath.py:1(<module>)
       49    0.000    0.000    0.076    0.002 untyped_passes.py:1762(run_pass)
    21745    0.008    0.000    0.075    0.000 ffi.py:72(__enter__)
  810/807    0.001    0.000    0.075    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      147    0.000    0.000    0.073    0.000 codegen.py:719(add_linking_library)
        1    0.000    0.000    0.072    0.072 stencil.py:1(<module>)
        1    0.000    0.000    0.071    0.071 arraymath.py:32(_check_blas)
        1    0.000    0.000    0.071    0.071 linalg.py:55(ensure_blas)
      719    0.020    0.000    0.070    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        1    0.000    0.000    0.069    0.069 contour.py:1(<module>)
346458/346088    0.039    0.000    0.069    0.000 {built-in method builtins.getattr}
    24910    0.013    0.000    0.068    0.000 event.py:390(start_event)
     7303    0.035    0.000    0.066    0.000 inspect.py:876(cleandoc)
    84/83    0.000    0.000    0.066    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
    84/83    0.065    0.001    0.066    0.001 {built-in method _imp.create_dynamic}
